Strategy Name,Python File Link,Expectancy [%],Sortino Ratio,# Trades,Win Rate [%],Profit Factor,Max. Drawdown [%],Sharpe Ratio,Return [%],Net Profit [$],Notes/Skipped Reason
Triple EMA + ADX + ATR,,-.20,-1.36,382,34.82,0.79,-68.72,-1.35,-55.45,-554500,Trend following; ADX filter + ATR trailing stop
Supertrend,,-.14,-1.01,484,31.61,0.88,-72.12,-1.01,-54.94,-549400,ATR-based adaptive trend; best PF of trend group
Ichimoku Cloud,,-.12,-1.22,331,28.70,0.82,-41.81,-0.93,-33.16,-331600,Full Ichimoku system; lowest drawdown of trend group
MACD + RSI + Volume Divergence,,-.21,-0.75,264,31.80,0.74,-57.30,-1.41,-41.87,-418700,Histogram reversal + volume spike confirmation
StochRSI + EMA + BB Squeeze,,-.10,-0.75,500,47.00,0.83,-45.20,-1.25,-40.09,-400900,Best win rate (47%); catches post-squeeze moves
ADX + DI Crossover,,-.92,0,6,16.70,0.11,-7.10,-1.06,-5.16,-51600,Ultra-conservative; only 6 trades in 2 years
RSI + Bollinger Mean Reversion,,-.19,0,447,27.07,0.78,-59.44,-1.93,-58.49,-584900,BB + RSI oversold/overbought with ATR stops
Keltner Channel Mean Reversion,,-.23,0,959,24.71,0.65,-86.29,-5.88,-85.44,-854400,Worst performer; too many trades in trending market
Williams %R + CCI Combo,,-.21,0,452,40.04,0.61,-61.91,-3.49,-59.98,-599800,Dual oscillator; decent win rate but poor R:R
BB-Keltner Squeeze Breakout,,-.06,-0.75,261,29.50,0.91,-29.40,-0.45,-17.25,-172500,TTM Squeeze; BEST overall — closest to breakeven
Donchian Breakout (Turtle),,-.22,-1.87,505,32.70,0.74,-75.70,-2.12,-67.36,-673600,Turtle system; high exposure hurt in chop
Chandelier Exit + PSAR,,-.16,-1.48,261,29.90,0.77,-43.00,-1.19,-35.17,-351700,Dual trailing stop system
Multi-Indicator Confluence,,-.18,0,720,28.75,0.72,-76.52,-2.86,-71.07,-710700,5-indicator scoring; too many whipsaw exits
Heikin Ashi + Supertrend + Volume,,-.14,0,475,43.79,0.83,-64.58,-1.26,-53.57,-535700,HA noise filtering + Supertrend; 2nd best win rate
Pivot Points + RSI + VWAP,,-.57,0,14,35.71,0.14,-7.42,-1.59,-7.42,-74200,Ultra-selective (14 trades); institutional style
Supertrend LONG ONLY,,-.02,-0.34,242,32.64,0.98,-50.48,-0.22,-13.89,-138924,LONG ONLY; PF 0.98 near breakeven; best Sharpe of all
BB-Keltner Squeeze LONG ONLY,,-.08,-0.72,130,26.92,0.88,-24.64,-0.39,-11.05,-110466,LONG ONLY; lowest drawdown -24.6%; low exposure 12.8%
StochRSI + EMA Squeeze LONG ONLY,,-.12,-1.17,257,48.64,0.80,-34.31,-1.00,-26.46,-264554,LONG ONLY; best win rate 48.6%; moderate drawdown
